run_id,index,Response,state,countr
1011,51,California USA,CA,USA
1079,51,Ann Arbor MI USA Paris France,MI,NA
1061,51,In a conservatory,NA,NA
1071,51,Atlanta Ga,GA,USA
1081,51,Madison WI USA,WI,USA
112,51,Princeton NJ USA,NJ,USA
1095,51,Bloomington IN USA,IN,USA
1129,51,Nebraska USA,NE,USA
1207,51,Lexington KY USA,KY,USA
1139,51,Mainland China and Hong Kong SAR,CHINA,China
1194,51,St Louis MO and Chicago IL USA,MO,USA
1307,51,Toronto Ontario Canada,ON,Canada
1446,51,BejingChina,Bejing,China
1501,51,bei jing,Bejing,China
15,51,asdfasdf,NA,NA
1480,51,Beijing,Bejing,China
1521,51,牡丹江,Mudanjiang,China
1588,51,beijingCHINA,Bejing,China
1665,51,Beijing China,Bejing,China
1616,51,wuhan hubei china,Wuhan,China
1677,51,Beijing China,Bejing,China
1675,51,BeijingChina,Bejing,China
1707,51,Beijing China,Bejing,China
1678,51,BeijingChina,Bejing,China
1729,51,beijing China,Bejing,China
1727,51,Beijing,Bejing,China
1706,51,Wuhan Hubei China,Wuhan,China
173,51,West Hartford CT Oberlin OH,CT,USA
216,51,Durham NC USA,NC,USA
226,51,Pocatello Idaho USA,ID,USA
285,51,Logan UT labased minorEugene OR dobased minor,UT,USA
295,51,Denton TX USA,TX,USA
303,51,Des Moines IA USa,IA,USA
288,51,Kingston Ontario Canada,ON,CANADA
291,51,Rochester NY USA,NY,USA
319,51,Victoria British Columbia Canada,BC,CANADA
32,51,Baltimore Maryland USA,MD,MD
313,51,I was not taught a system Truly,NA,NA
366,51,Greeley Colorado United States of America,CO,USA
360,51,Cornell University and Fontainbleau France,NY,USA
371,51,Oberlin OH,OH,USA
386,51,usa,USA,USA
427,51,University of Illinois at UrbanaChampaign University of Minnesota Twin Cities,IL,USA
395,51,Kirksville MO USA,MO,USA
44,51,New Brunswick New Jersey USA,NJ,USA
401,51,Ypsilanti MI,MI,USA
466,51,Multiple places liberal arts undergrad conservatorystyle PhD program,USA,USA
453,51,NA,NA,NA
489,51,New York New York,NY,USA
486,51,Appleton Wisconsin USA,WI,USA
511,51,Actually technically we didnt use any such system at my undergrad institution which didnt focus on aural skills at all But I learned moveabledo not sure we ever did anything minor as a young kid in a small town in Iowa,NA,USA
502,51,Texas US,TX,USA
540,51,Baltimore Maryland USA,MD,USA
545,51,Boston MA USA,MA,USA
593,51,Northfield Minnesota USA,MN,USA
598,51,Quebec Canada,QB,CANADA
556,51,Denton TX USA,TX,USA
617,51,Through osmosis really,NA,NA
621,51,New York,NY,USA
670,51,Athens Ohio USA,OH,USA
747,51,Allentown PA high school,PA,USA
824,51,Boston,MA,USA
815,51,New York NY,NY,USA
695,51,Minnesota,MN,USA
769,51,Nagoya Japan,Nagoya,JAPAN
841,51,Pittsburgh PA,PA,USA
887,51,North East England UK,ENGLAND,UK
830,51,Varied Dobased minor as child Fixed in UGD s in grad training,USA,NA
900,51,Malta,MALTA,MALTA
896,51,North Carolina,NC,USA
989,51,Oberlin OH USA,OH,USA
954,51,Kawasaki Japan Eugene OR USA,OR,USA
922,51,Chapel Hill NC,NC,USA